Type,ref_domains_dofollow,total_traffic,ahrefs_rank,domain_rating
Median,40,82,17838462,10
Min,0,0,4281,0
Max,13379,3444072,171527697,85
Missing,0.36%,0.36%,0.43%,0.43%
