Type,Value
#Cities,426
#Keywords,4
Total # of searches,1674
#Unique place IDs,12931
Searches with less than 10 results,0.25%
Searches with 10 to 15 results,1.31%
Searches with 16 to 19 results,5.44%
Searches with a full first-page,93%
